repository,release_tag,working_days_since_previous_release
seed-design,@seed-design/css@0.0.13,9
seed-design,@seed-design/figma@0.0.5,1
seed-design,@seed-design/rsbuild-plugin@0.0.13,1
seed-design,@seed-design/react@0.0.13,1
seed-design,@seed-design/react-pull-to-refresh@0.0.2,1
seed-design,@seed-design/mcp@0.0.5,1
seed-design,@seed-design/vite-plugin@0.0.13,1
seed-design,@seed-design/stackflow@0.0.13,1
seed-design,@seed-design/webpack-plugin@0.0.13,1
seed-design,@seed-design/css@0.0.14,2
seed-design,@seed-design/mcp@0.0.6,1
seed-design,@seed-design/figma@0.0.6,1
seed-design,@seed-design/react@0.0.14,1
seed-design,@seed-design/react-popover@0.0.3,1
seed-design,@seed-design/rsbuild-plugin@0.0.14,1
seed-design,@seed-design/stackflow@0.0.14,1
seed-design,@seed-design/vite-plugin@0.0.14,1
seed-design,@seed-design/webpack-plugin@0.0.14,1
seed-design,@seed-design/css@0.0.15,3
seed-design,@seed-design/figma@0.0.15,1
seed-design,@seed-design/react-popover@0.0.4,1
seed-design,@seed-design/vite-plugin@0.0.15,1
seed-design,@seed-design/rsbuild-plugin@0.0.15,1
seed-design,@seed-design/mcp@0.0.15,1
seed-design,@seed-design/webpack-plugin@0.0.15,1
seed-design,@seed-design/stackflow@0.0.15,1
seed-design,@seed-design/react@0.0.15,1
seed-design,@seed-design/mcp@0.0.16,1
seed-design,@seed-design/css@0.0.17,1
seed-design,@seed-design/mcp@0.0.17,1
seed-design,@seed-design/figma@0.0.17,1
seed-design,@seed-design/react@0.0.17,1
seed-design,@seed-design/rsbuild-plugin@0.0.17,1
seed-design,@seed-design/webpack-plugin@0.0.17,1
seed-design,@seed-design/vite-plugin@0.0.17,1
seed-design,@seed-design/stackflow@0.0.17,1
seed-design,@seed-design/figma@0.0.18,2
seed-design,@seed-design/mcp@0.0.18,1
seed-design,@seed-design/figma@0.0.19,1
seed-design,@seed-design/css@0.0.19,1
seed-design,@seed-design/mcp@0.0.19,1
seed-design,@seed-design/rsbuild-plugin@0.0.19,1
seed-design,@seed-design/stackflow@0.0.19,1
seed-design,@seed-design/vite-plugin@0.0.19,1
seed-design,@seed-design/react@0.0.19,1
seed-design,@seed-design/webpack-plugin@0.0.19,1
seed-design,@seed-design/figma@0.0.20,2
seed-design,@seed-design/mcp@0.0.20,1
seed-design,@seed-design/figma-extractor@0.0.4,3
seed-design,@seed-design/cli@0.0.2,1
seed-design,@seed-design/codemod@0.0.22,1
seed-design,@seed-design/css@0.0.21,1
seed-design,@seed-design/design-token@1.0.4,1
seed-design,@seed-design/mcp@0.0.21,1
seed-design,@seed-design/react@0.0.21,1
seed-design,@seed-design/figma@0.0.21,1
seed-design,@seed-design/react-checkbox@0.0.2,1
seed-design,@seed-design/react-avatar@0.0.2,1
seed-design,@seed-design/react-primitive@0.0.2,1
seed-design,@seed-design/react-popover@0.0.5,1
seed-design,@seed-design/react-dialog@0.0.3,1
seed-design,@seed-design/react-pull-to-refresh@0.0.3,1
seed-design,@seed-design/react-radio-group@0.0.2,1
